date,precipitation (mm),temperature (°C),potential evapotranspiration (mm),flow (m³/s),suspended sediment (mg/L),total phosphorus (mg/L),nitrate (mg/L)
1995-01-01,0.14993,3.04570,0.30446,123.57000,16.16450,0.18671,10.09655
1995-01-02,1.48579,7.55751,0.34431,119.81450,15.81300,0.18728,9.64725
1995-01-03,1.91060,9.56980,0.48962,118.82700,15.72800,0.18739,9.23295
1995-01-04,0.97836,7.95878,0.18174,113.19100,14.89250,0.18986,9.28445
1995-01-05,0.62526,4.27803,0.25788,106.95950,14.13090,0.19289,9.38455
1995-01-06,0.24010,2.44810,0.18848,100.85350,13.25695,0.19574,9.38970
1995-01-07,0.21323,2.23192,0.11732,95.45350,12.54495,0.19841,9.31035
1995-01-08,1.92376,3.46884,0.09560,96.13650,13.04990,0.19718,9.02460
1995-01-09,2.93234,5.87417,0.04865,102.81800,14.04325,0.19299,8.70770
1995-01-10,5.73455,4.65466,0.03474,128.55050,17.18900,0.18089,8.20605
1995-01-11,0.31589,3.72603,0.28784,119.64800,15.51700,0.18758,9.24840
1995-01-12,0.10741,1.53624,0.06575,109.97500,14.08130,0.19261,9.70405
1995-01-13,2.93256,-0.46569,0.00044,103.59350,14.12950,0.19545,9.81920
1995-01-14,0.01533,-2.20076,0.36474,96.40150,13.14280,0.19903,9.73600
1995-01-15,0.20896,-3.08473,0.11327,90.26800,12.33670,0.20240,9.62265
1995-01-16,4.07873,-1.89289,0.03372,85.04900,11.63685,0.20483,9.49195
1995-01-17,5.61770,-1.22150,0.18426,82.75650,11.49480,0.20549,9.36435
1995-01-18,5.45352,4.22942,0.12338,186.31500,20.05000,0.15725,6.33680
1995-01-19,0.08079,1.32669,0.16838,173.69500,19.27550,0.16773,8.32070
1995-01-20,0.33874,-0.41972,0.06741,150.75500,17.81250,0.17642,9.53190
1995-01-21,0.52303,-0.11731,0.19144,133.51500,16.37050,0.18146,10.06660
1995-01-22,1.80733,1.12220,0.14804,130.09500,16.28950,0.18026,9.89020
1995-01-23,1.09152,2.30589,0.18478,122.01000,15.36825,0.18290,9.88170
1995-01-24,0.36666,-0.47698,0.03995,111.03850,13.98685,0.18768,9.91130
1995-01-25,2.40225,1.34239,0.09608,114.99600,14.73065,0.18378,9.26145
1995-01-26,10.58706,5.79130,0.20580,174.68500,21.06800,0.16202,7.36965
1995-01-27,0.43587,5.85240,0.17075,156.41500,18.71850,0.17107,8.79860
1995-01-28,0.45803,4.06764,0.04321,139.12000,17.49700,0.17777,9.71330
1995-01-29,1.89577,4.97806,0.13512,131.12000,17.25250,0.18039,9.90430
1995-01-30,0.87238,5.18434,0.21733,120.49000,16.09600,0.18520,10.04665
1995-01-31,7.40957,7.23228,0.38196,155.68000,20.13250,0.17055,8.45135
1995-02-01,5.99929,8.15110,0.01554,178.07500,21.97900,0.16606,8.43620
1995-02-02,1.51507,5.67827,0.06068,163.27000,20.43450,0.17272,9.55135
1995-02-03,1.38887,6.17420,0.20191,149.65500,19.60450,0.17757,10.09015
1995-02-04,3.55956,9.62730,0.20686,152.86500,20.04900,0.17565,9.68750
1995-02-05,3.35895,6.21557,0.36100,155.25500,20.18200,0.17576,9.76700
1995-02-06,5.01057,2.73340,0.22140,169.74500,21.44750,0.17131,9.55850
1995-02-07,0.78725,1.94245,0.37442,154.74500,19.63500,0.17753,10.18015
1995-02-08,0.36966,2.92096,0.63631,140.98500,18.28050,0.18234,10.40650
1995-02-09,0.03041,1.98937,0.33475,129.68500,16.13050,0.18632,10.43575
1995-02-10,0.00148,0.97570,0.24243,120.53000,15.55300,0.19033,10.32755
1995-02-11,0.08754,0.45136,0.23219,112.94050,14.63645,0.19291,10.13985
1995-02-12,0.91339,3.13338,0.54760,107.64150,14.09995,0.19505,9.79530
1995-02-13,2.80244,7.48181,0.28596,112.66200,14.76850,0.19116,9.09125
1995-02-14,4.26370,10.02986,0.45338,127.57500,16.30450,0.18440,8.47765
1995-02-15,1.70114,9.74012,0.28202,123.89500,15.60600,0.18757,8.90875
1995-02-16,1.02238,7.30086,0.29849,116.03100,14.86050,0.19159,9.25710
1995-02-17,0.07718,3.49873,0.27238,107.49750,13.76715,0.19552,9.46835
1995-02-18,0.00409,2.49275,0.54374,100.29700,12.85815,0.19839,9.46530
1995-02-19,0.00272,1.66035,0.45828,94.25600,12.07850,0.20114,9.42160
1995-02-20,0.01087,2.84842,0.54494,89.06950,11.41810,0.20333,9.25275
1995-02-21,0.10590,3.58710,0.39100,84.55300,10.81570,0.20559,9.08435
1995-02-22,0.40078,2.42557,0.38415,80.76350,10.41195,0.20748,9.03980
1995-02-23,0.00150,1.90587,0.60860,77.02550,9.82120,0.20943,8.98650
1995-02-24,0.00001,-0.92121,0.37379,73.56900,9.34440,0.21091,8.99400
1995-02-25,0.00160,-0.75151,0.50099,70.37500,8.88045,0.21191,8.96065
1995-02-26,1.11681,2.98415,0.77604,68.94800,9.02995,0.21262,8.73470
1995-02-27,1.81081,7.25742,0.17537,70.41050,9.47285,0.21066,8.27945
1995-02-28,0.91537,8.19070,0.51381,68.47450,9.14925,0.21262,8.24210
1995-03-01,7.02457,7.02476,0.25256,101.59700,13.90660,0.18775,6.82330
1995-03-02,0.32516,7.65003,0.54651,96.71250,12.37720,0.19544,8.14120
1995-03-03,1.92280,9.13867,0.24790,94.77700,12.81170,0.19735,8.47125
1995-03-04,1.51283,9.31841,0.53827,90.92600,12.76895,0.19911,8.67605
1995-03-05,0.05042,9.59255,1.18479,83.96400,11.90900,0.20318,8.76050
1995-03-06,0.50737,4.61592,0.10962,78.25300,11.26420,0.20589,8.99115
1995-03-07,0.04996,3.31754,0.71628,73.04800,10.64655,0.20848,9.06400
1995-03-08,0.01009,4.70491,0.91056,68.59650,10.10655,0.21103,8.93175
1995-03-09,0.04107,3.21297,0.62917,64.76600,9.58750,0.21411,8.86335
1995-03-10,0.02970,3.05460,0.63848,61.41050,9.13405,0.21657,8.77895
1995-03-11,0.08258,2.43150,0.54053,58.43300,8.72305,0.21886,8.74285
1995-03-12,0.30379,1.39180,0.63427,55.86950,8.39285,0.22145,8.69345
