date,precipitation (mm),temperature (°C),potential evapotranspiration (mm),flow (m³/s),suspended sediment (mg/L),total phosphorus (mg/L),nitrate (mg/L)
01/01/1975,1.66,7.70,0.160005604,123.8500023,18.12499953,0.215500005,8.040499925
02/01/1975,0.04,7.23,0.141485057,113.2999993,16.38000011,0.220700005,7.892499925
03/01/1975,0.01,4.61,0.451523351,105.375,15.29450035,0.223850005,7.857999805
04/01/1975,0.02,5.84,0.696423271,99.70500182,14.46450043,0.225200005,7.699499845
05/01/1975,0.01,8.67,0.007523144,93.58500293,13.5715003,0.227649995,7.47999978
06/01/1975,1.20,7.32,0.648545078,92.93999863,13.60649968,0.224600005,7.41299987
07/01/1975,0.79,7.50,0.404524841,89.45000077,12.69199968,0.22525,7.363000155
08/01/1975,0.03,8.27,0.383924196,83.48500061,11.5880003,0.226899995,7.26099992
09/01/1975,0.00,8.09,0.202035948,78.59499931,11.0480001,0.228149995,7.186500075
10/01/1975,0.11,8.78,0.575007667,74.00999832,10.60950017,0.22855001,7.0710001
11/01/1975,0.14,8.73,0.235384048,69.90999985,10.07000017,0.230450005,6.989500045
12/01/1975,3.51,6.91,0.498850111,77.51999857,11.34900045,0.216650005,6.729500055
13/01/1975,0.59,7.72,1.050145217,75.11000252,10.4849999,0.219349995,6.93199992
14/01/1975,3.22,8.60,0.414370391,79.50500109,11.45549965,0.213849995,6.821500065
15/01/1975,3.65,6.93,0.343358243,81.68999866,12.01100016,0.208650005,6.8835001
16/01/1975,4.31,4.68,0.259202748,91.33000186,13.38699961,0.198350005,7.02600002
17/01/1975,2.86,3.84,0.129915402,92.45000077,14.09999991,0.196350005,7.150000095
18/01/1975,8.97,2.26,0.118883671,112.3549996,17.04999971,0.18145,7.159499885
19/01/1975,11.79,4.23,0.702490194,143.9399986,21.12000036,0.168749995,6.93849993
20/01/1975,8.87,5.01,0.217321069,162.5000001,22.36999989,0.16155,6.791000125
21/01/1975,4.38,6.71,0.68980355,161.8000031,22.89499998,0.16385,6.72300005
22/01/1975,4.38,6.27,0.001072986,163.3499985,23.28499985,0.1656,6.56800008
23/01/1975,1.82,5.70,0.629029591,146.8499985,21.66000032,0.175850005,7.23549986
24/01/1975,6.29,7.07,0.865199953,160.6500016,23.11000061,0.1714,6.748999835
25/01/1975,0.74,4.85,0.094951157,145.7499962,21.2300005,0.185050005,7.48000002
26/01/1975,12.38,6.20,0.75707661,203.4500046,27.01999951,0.165999995,6.021000145
